Episode,Total Reward,Traditional Reward,Non-traditional Reward,Timesteps
0,0
1, 16.59, 0, 16.59, 168
2, 36.9, 3, 33.9, 341
3, 33.0, 3, 30.0, 302
4, 16.09, 0, 16.09, 163
5, 45.3, 4, 41.3, 415
6, 16.89, 0, 16.89, 171
7, 23.8, 1, 22.8, 230
8, 18.09, 0, 18.09, 183
9, 40.1, 3, 37.1, 373
10, 44.7, 4, 40.7, 409
11, 16.89, 0, 16.89, 171
12, 24.1, 1, 23.1, 233
13, 36.2, 3, 33.2, 334
14, 37.5, 3, 34.5, 347
15, 17.09, 0, 17.09, 173
16, 29.8, 2, 27.8, 280
17, 23.6, 1, 22.6, 228
18, 30.2, 2, 28.2, 284
19, 17.49, 0, 17.49, 177
20, 16.39, 0, 16.39, 166
21, 29.1, 2, 27.1, 273
22, 34.5, 3, 31.5, 317
23, 25.7, 1, 24.7, 249
24, 16.69, 0, 16.69, 169
25, 17.09, 0, 17.09, 173
26, 38.1, 3, 35.1, 353
27, 16.49, 0, 16.49, 167
28, 36.6, 3, 33.6, 338
29, 24.3, 1, 23.3, 235
30, 21.4, 1, 20.4, 206
31, 36.4, 3, 33.4, 336
32, 24.8, 1, 23.8, 240
33, 45.3, 4, 41.3, 415
34, 24.9, 1, 23.9, 241
35, 25.1, 1, 24.1, 243
36, 51.8, 5, 46.8, 470
37, 16.29, 0, 16.29, 165
38, 27.8, 2, 25.8, 260
39, 30.4, 2, 28.4, 286
40, 43.2, 4, 39.2, 394
