Episode,Total Reward,Traditional Reward,Non-traditional Reward,Timesteps
0,0
1, 41.9, 4, 37.9, 381
2, 17.79, 0, 17.79, 180
3, 21.8, 1, 20.8, 210
4, 16.69, 0, 16.69, 169
5, 24.5, 1, 23.5, 237
6, 22.1, 1, 21.1, 213
7, 29.6, 2, 27.6, 278
8, 16.49, 0, 16.49, 167
9, 21.7, 1, 20.7, 209
10, 17.29, 0, 17.29, 175
11, 16.49, 0, 16.49, 167
12, 32.3, 2, 30.3, 305
13, 31.7, 2, 29.7, 299
14, 18.39, 0, 18.39, 186
15, 18.19, 0, 18.19, 184
16, 16.99, 0, 16.99, 172
17, 38.6, 3, 35.6, 358
18, 23.4, 1, 22.4, 226
19, 29.5, 2, 27.5, 277
20, 36.9, 3, 33.9, 341
